yliopisto,tilastovuosi,Alempi korkeakoulututkinto,Ylempi korkeakoulututkinto,Lisensiaatintutkinto,Tohtorintutkinto
Aalto-yliopisto,2015,1662,1968,27,255
Helsingin yliopisto,2015,2826,2691,36,528
Itä-Suomen yliopisto,2015,1359,1380,12,162
Jyväskylän yliopisto,2015,1260,1485,9,159
Lapin yliopisto,2015,489,417,4,24
Lappeenrannan–Lahden teknillinen yliopisto,2015,363,597,4,60
Oulun yliopisto,2015,1437,1245,4,171
Svenska handelshögskolan,2015,249,285,0,9
Taideyliopisto,2015,189,243,4,21
Tampereen yliopisto,2015,2382,2280,21,219
Turun yliopisto,2015,1740,1710,6,174
Vaasan yliopisto,2015,474,522,4,24
Åbo Akademi,2015,606,495,4,75
Aalto-yliopisto,2016,1971,1998,6,261
Helsingin yliopisto,2016,2757,2685,45,507
Itä-Suomen yliopisto,2016,1395,1419,12,177
Jyväskylän yliopisto,2016,1212,1515,18,159
Lapin yliopisto,2016,471,420,9,24
Lappeenrannan–Lahden teknillinen yliopisto,2016,372,576,4,48
Oulun yliopisto,2016,1272,1446,4,195
Svenska handelshögskolan,2016,249,258,0,15
Taideyliopisto,2016,180,267,0,21
Tampereen yliopisto,2016,1671,1974,15,213
Turun yliopisto,2016,1605,1701,12,168
Vaasan yliopisto,2016,486,540,4,27
Åbo Akademi,2016,648,522,4,72
Aalto-yliopisto,2017,1179,1926,9,255
Helsingin yliopisto,2017,2910,2604,45,474
Itä-Suomen yliopisto,2017,1461,1383,9,162
Jyväskylän yliopisto,2017,1344,1476,9,147
Lapin yliopisto,2017,546,441,4,24
Lappeenrannan–Lahden teknillinen yliopisto,2017,381,657,4,54
Oulun yliopisto,2017,1254,1332,4,150
Svenska handelshögskolan,2017,255,279,0,12
Taideyliopisto,2017,195,228,0,18
Tampereen yliopisto,2017,1617,1989,9,186
Turun yliopisto,2017,1707,1557,15,171
Vaasan yliopisto,2017,501,537,4,27
Åbo Akademi,2017,540,501,4,66
Aalto-yliopisto,2018,1218,1629,6,264
Helsingin yliopisto,2018,2520,2505,27,444
Itä-Suomen yliopisto,2018,1434,1590,9,153
Jyväskylän yliopisto,2018,1221,1512,9,138
Lapin yliopisto,2018,486,486,4,21
Lappeenrannan–Lahden teknillinen yliopisto,2018,378,642,4,54
Oulun yliopisto,2018,1182,1314,4,198
Svenska handelshögskolan,2018,267,312,0,6
Taideyliopisto,2018,168,258,0,18
Tampereen yliopisto,2018,1725,2082,9,213
Turun yliopisto,2018,1689,1806,6,195
Vaasan yliopisto,2018,537,543,4,21
Åbo Akademi,2018,642,480,4,60
Aalto-yliopisto,2019,1341,1959,6,234
Helsingin yliopisto,2019,2898,2700,24,504
Itä-Suomen yliopisto,2019,1368,1650,4,147
Jyväskylän yliopisto,2019,1236,1575,15,126
Lapin yliopisto,2019,429,474,0,24
Lappeenrannan–Lahden teknillinen yliopisto,2019,480,780,0,57
Oulun yliopisto,2019,1152,1500,4,159
Svenska handelshögskolan,2019,264,333,0,6
Taideyliopisto,2019,246,303,0,9
Tampereen yliopisto,2019,1569,1896,12,189
Turun yliopisto,2019,1512,1797,15,183
Vaasan yliopisto,2019,468,564,4,24
Åbo Akademi,2019,453,564,4,57
