tilastovuosi,korkeakoulu,tutkinnot,tavoiteajassa,tavoiteaikaYlitettyKorkeintaan12Kk,tavoiteaikaYlitettyYli12Kk,onAiempiKorkeakoulututkinto
2015,Aalto-yliopisto,3628,574,948,2106,128
2015,Helsingin yliopisto,5516,1091,1480,2945,442
2015,Itä-Suomen yliopisto,2740,971,698,1071,238
2015,Jyväskylän yliopisto,2746,870,824,1052,159
2015,Lapin yliopisto,907,196,234,477,78
2015,Lappeenrannan-Lahden teknillinen yliopisto,960,270,330,360,22
2015,Oulun yliopisto,2683,764,737,1182,172
2015,Svenska handelshögskolan,534,74,192,268,28
2015,Taideyliopisto,432,104,153,175,39
2015,Tampereen yliopisto,4663,959,1206,2497,290
2015,Turun yliopisto,3451,893,942,1616,202
2015,Vaasan yliopisto,996,238,309,449,34
2015,Åbo Akademi,1099,320,304,475,38
2016,Aalto-yliopisto,3968,667,1024,2277,134
2016,Helsingin yliopisto,5443,1154,1453,2836,468
2016,Itä-Suomen yliopisto,2814,1125,759,930,247
2016,Jyväskylän yliopisto,2727,928,836,963,150
2016,Lapin yliopisto,891,206,247,438,79
2016,Lappeenrannan-Lahden teknillinen yliopisto,946,296,290,360,32
2016,Oulun yliopisto,2718,853,800,1065,174
2016,Svenska handelshögskolan,507,103,192,212,21
2016,Taideyliopisto,448,124,154,170,45
2016,Tampereen yliopisto,3646,926,1060,1660,210
2016,Turun yliopisto,3306,891,989,1426,196
2016,Vaasan yliopisto,1026,270,338,418,51
2016,Åbo Akademi,1169,375,362,432,28
2017,Aalto-yliopisto,3105,745,1005,1355,113
2017,Helsingin yliopisto,5514,1271,1592,2651,480
2017,Itä-Suomen yliopisto,2844,1150,805,889,268
2017,Jyväskylän yliopisto,2820,995,928,897,173
2017,Lapin yliopisto,987,284,290,413,124
2017,Lappeenrannan-Lahden teknillinen yliopisto,1038,317,395,326,31
2017,Oulun yliopisto,2587,910,798,879,211
2017,Svenska handelshögskolan,536,98,237,201,19
2017,Taideyliopisto,422,116,154,152,35
2017,Tampereen yliopisto,3606,1124,1075,1407,239
2017,Turun yliopisto,3265,1010,1022,1233,203
2017,Vaasan yliopisto,1039,243,353,443,42
2017,Åbo Akademi,1042,366,316,360,34
2018,Aalto-yliopisto,2846,757,972,1117,108
2018,Helsingin yliopisto,5022,1225,1480,2317,505
2018,Itä-Suomen yliopisto,3026,1312,829,885,300
2018,Jyväskylän yliopisto,2734,1038,811,885,212
2018,Lapin yliopisto,973,306,258,409,96
2018,Lappeenrannan-Lahden teknillinen yliopisto,1019,392,349,278,18
2018,Oulun yliopisto,2496,991,758,747,208
2018,Svenska handelshögskolan,578,125,267,186,19
2018,Taideyliopisto,427,108,161,158,38
2018,Tampereen yliopisto,3806,1081,1218,1505,245
2018,Turun yliopisto,3494,1132,1069,1293,240
2018,Vaasan yliopisto,1080,327,392,361,52
2018,Åbo Akademi,1128,378,382,368,41
2019,Aalto-yliopisto,3301,908,1115,1278,126
2019,Helsingin yliopisto,5596,1418,1745,2433,512
2019,Itä-Suomen yliopisto,3018,1189,908,921,278
2019,Jyväskylän yliopisto,2810,1032,857,921,157
2019,Lapin yliopisto,906,298,251,357,72
2019,Lappeenrannan-Lahden teknillinen yliopisto,1259,448,381,430,38
2019,Oulun yliopisto,2655,1193,704,758,164
2019,Svenska handelshögskolan,631,209,244,178,32
2019,Taideyliopisto,548,146,200,202,52
2019,Tampereen yliopisto,3464,1182,1060,1221,209
2019,Turun yliopisto,3311,1159,1064,1088,192
2019,Vaasan yliopisto,1031,308,378,345,40
2019,Åbo Akademi,1018,359,330,329,37
